"Match.Id","Round.Id","Competition.Id","Venue","Local.Start.Time","Round.Number","Round.Abbreviation","Weather.Type","Weather.Description","Temperature","team","goals","behinds","points_for","behinds_left","behinds_right","posters_left","posters_right","behinds_rushed","behinds_touched","points_against","home_or_away","score_margin","match_outcome","team_abbr","team_id","team_nickname","bounces","clangers","clearances_centre","clearances_stoppage","clearances_total","marks_contested","possessions_contested","disposals_efficiency","disposals","dream_team_points","frees_against","frees_for","goal_accuracy","goal_assists","goal_efficiency","handballs","hitouts","inside50s","intercepts","kicks","marks","marks_inside50","one_percenters","rebound50s","shot_efficiency","shots_at_goal","tackles","tackles_inside50","possessions_total","turnovers","possessions_uncontested"
"CD_M20172640501","CD_R201726405","CD_S2017264","Blacktown International Sportspark",2017-03-03 17:05:00,5,"Rd 5","THUNDERSTORMS","Heavy showers Possible storm",18,"GWS Giants",3,2,20,1,1,0,0,0,0,15,"Home",5,"Win","GWS","CD_T7889","Giants",0,36,2,23,25,3,90,52.7,146,676,14,20,42.9,0,23.1,43,31,13,35,103,16,3,26,28,53.8,7,51,7,134,42,44
"CD_M20172640501","CD_R201726405","CD_S2017264","Blacktown International Sportspark",2017-03-03 17:05:00,5,"Rd 5","THUNDERSTORMS","Heavy showers Possible storm",18,"Melbourne",1,9,15,3,3,0,0,3,0,20,"Away",-5,"Loss","MELB","CD_T7386","Demons",0,33,4,16,20,6,91,62.4,173,729,20,14,6.7,1,3.4,77,28,29,42,96,26,8,18,8,51.7,15,53,14,172,35,81
"CD_M20172640502","CD_R201726405","CD_S2017264","Ikon Park",2017-03-04 11:35:00,5,"Rd 5","SUNNY","Humid Becoming mostly sunny",28,"Carlton",8,6,54,2,2,0,2,0,0,48,"Home",6,"Win","CARL","CD_T8096","Blues",5,36,5,12,17,8,99,64.6,175,812,17,17,53.3,5,26.7,52,31,30,51,123,36,5,27,16,50,15,45,9,174,47,75
"CD_M20172640502","CD_R201726405","CD_S2017264","Ikon Park",2017-03-04 11:35:00,5,"Rd 5","SUNNY","Humid Becoming mostly sunny",28,"Western Bulldogs",7,6,48,1,4,0,0,1,0,54,"Away",-6,"Loss","WB","CD_T7387","Bulldogs",6,38,13,20,33,4,97,54.7,172,799,17,17,50,3,28,56,18,25,47,116,33,9,22,22,56,14,52,6,169,51,72
"CD_M20172640503","CD_R201726405","CD_S2017264","Rushton Park",2017-03-04 10:35:00,5,"Rd 5","CLEAR_NIGHT","Clear",18,"Fremantle",4,7,31,1,5,0,0,1,0,32,"Home",-1,"Loss","FRE","CD_T7886","Freo",1,48,8,18,26,7,96,56.9,188,810,15,14,28.6,3,12.5,64,14,32,54,124,32,7,17,9,43.8,14,50,4,187,57,91
"CD_M20172640503","CD_R201726405","CD_S2017264","Rushton Park",2017-03-04 10:35:00,5,"Rd 5","CLEAR_NIGHT","Clear",18,"Collingwood",5,2,32,1,0,0,1,0,0,31,"Away",1,"Win","COLL","CD_T8097","Magpies",5,49,2,11,13,7,82,60.9,184,902,14,15,62.5,3,33.3,43,32,15,58,141,60,5,17,27,53.3,8,44,2,182,54,100
"CD_M20172640504","CD_R201726405","CD_S2017264","Norwood Oval",2017-03-04 18:40:00,5,"Rd 5","SUNNY","Sunny",33,"Adelaide Crows",4,6,30,2,2,0,1,1,0,33,"Home",-3,"Loss","ADEL","CD_T8098","Crows",0,44,3,20,23,7,114,51.5,196,935,12,21,30.8,2,11.1,62,38,36,56,134,28,4,28,13,36.1,13,68,17,186,56,72
"CD_M20172640504","CD_R201726405","CD_S2017264","Norwood Oval",2017-03-04 18:40:00,5,"Rd 5","SUNNY","Sunny",33,"Brisbane Lions",5,3,33,1,1,0,0,1,0,30,"Away",3,"Win","BL","CD_T7887","Lions",2,50,6,11,17,3,91,53.7,175,839,21,12,55.6,3,27.8,48,18,18,56,127,38,4,37,31,50,9,62,7,169,56,78
"CD_M20172640601","CD_R201726406","CD_S2017264","Domain Stadium",2017-03-10 15:05:00,6,"Rd 6","SUNNY","Sunny",32,"Fremantle",6,7,43,3,4,0,0,0,0,27,"Home",16,"Win","FRE","CD_T7886","Freo",1,33,8,20,28,6,97,55.7,174,922,13,16,46.2,4,20,59,32,30,46,115,37,10,18,8,43.3,13,74,9,176,47,79
"CD_M20172640601","CD_R201726406","CD_S2017264","Domain Stadium",2017-03-10 15:05:00,6,"Rd 6","SUNNY","Sunny",32,"Carlton",4,3,27,1,0,0,0,2,0,43,"Away",-16,"Loss","CARL","CD_T8096","Blues",1,41,2,18,20,5,83,51.4,138,595,16,13,66.7,1,30.8,53,34,13,47,85,20,2,10,24,46.2,6,37,3,139,46,56
